title	city	hotels	hotels_price
黄布倒影周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
榕杉湖周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
大圩古镇周边酒店	桂林	"桂林桂林漓江怡趣园客栈, 桂林大圩锦秀山庄, 灵川君瑜圩舍民宿, 桂林大圩毛洲岛53号农家乐, 灵川大圩毛洲岛49号农家乐, 灵川毛洲岛4号农家乐, 灵川毛洲岛10号农家乐, 灵川毛洲岛54青年号农家乐"	"368, 108, 178, 58, 248, 199, 68, 118"
杨堤周边酒店	桂林	"阳朔杨堤·别院Hotel, 阳朔跃跃客栈, 阳朔拾光江舍, 阳朔连旺客栈, 阳朔杨堤田园居, 阳朔好客来客栈, 阳朔漓江徒步之家, 阳朔轩逸客栈"	"120, 95, 100, 88, 87, 90, 69, 87"
南溪山公园周边酒店	桂林	"桂林工人疗养院住宿, 桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林金鑫宾馆"	"407, 128, 102, 68, 97, 75, 114, 68"
黄洛瑶寨周边酒店	桂林	"龙脊梯田镇寨楼客栈, 龙脊梯田漫达客栈"	"102, 155"
愚自乐园周边酒店	桂林	"Club Med桂林度假村, 桂林前海旅馆, 桂林聚缘楼住宿部, 桂林博轩便捷酒店, 云逸休闲酒店(桂林雁山店)"	"984, 79, 86, 58, 118"
鲁家村周边酒店	桂林	"城市便捷酒店(桂林高新区万达店), 桂林帝翔酒店, 维也纳酒店(桂林会展中心万达店), 桂林南溪山庄, 桂林北桂酒店, 桂林周家宾馆, 如家商旅酒店(桂林火车站店), 桂林创兴大酒店"	"84, 50, 94, 268, 55, 79, 133, 119"
九马画山周边酒店	桂林	"柠檬湾酒店(桂林高新万达店), 桂林美天宾馆, 浦江大酒店(桂林火车站店), 桂林南星谊美酒店, 桂林城市梦想酒店, 桂林四建精品酒店, 桂林鑫悦宾馆, 桂林豪帝宾馆"	"90, 42, 60, 68, 92, 107, 60, 150"
千年古榕周边酒店	桂林	"阳朔七仙峰茶园客栈, 阳朔县益佳客栈, 桂林阳朔陈家花园西街分店客栈, 桂林兴坪山水美宿渔家乐(总统之旅店)"	"142, 69, 98, 448"
海洋银杏林周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
漓江全程精华漂流周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
熊虎山庄周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
鉴山寺周边酒店	桂林	"阳朔陌上美宿·云谷山居, 桂林云谷山房客栈, 阳朔东篱下度假民宿馆, 阳朔俊发客栈, 阳朔高田馨怡宾馆, 阳朔碧莲大酒店, 阳朔览月山庄, 阳朔月伴湾度假别墅"	"290, 550, 478, 111, 60, 66, 238, 194"
桃花江周边酒店	桂林	"中铁连锁西门大酒店（桂林西城步行街店）, 桂林西城步行街便捷酒店, 桂林青柠酒店, 桂林好利来酒店, 维也纳国际酒店(桂林万象城店), 桂林台联酒店, 桂林千惠假日酒店, Q加· 桂林赛凯酒店(象山公园店）"	"71, 50, 84, 148, 138, 118, 42, 86"
碧莲峰周边酒店	桂林	"阳朔伴闲居民宿, 阳朔大榕树景悦阁客栈, 阳朔十里画廊客栈, 阳朔客常居客栈, 喆啡酒店(阳朔十里画廊遇龙河店), 久栖·阳朔双江生态度假酒店, 阳朔时光九篇酒店(Yangshuo 9 Time Hotel ), 阳朔喜宁阁客栈"	"93, 139, 148, 116, 295, 149, 156, 220"
桂湖周边酒店	桂林	"桂林新滨国际大酒店, 桂林窝窝小居普通公寓(穿山东路辅路分店), 曼哈顿酒店(桂林七星万达店), 桂林良园商务酒店, 桂林意阳酒店, 桂林海悦快捷酒店, 湘文宾馆, 桂林资江假日宾馆"	"109, 40, 192, 88, 76, 45, 86, 69"
植物园周边酒店	桂林	"Club Med桂林度假村, 桂林前海旅馆, 桂林聚缘楼住宿部, 桂林博轩便捷酒店, 云逸休闲酒店(桂林雁山店), 一间客栈(桂林漓院店), 桂林柔禾旅社漓江学院店, 桂林天鹅之恋主题宾馆"	"984, 79, 86, 58, 118, 81, 78, 58"
桂林西山周边酒店	桂林	"桂林柳钢桂林疗养院, 维也纳酒店(桂林万福广场店), 城市便捷酒店(桂林瓦窑批发城店), 桂林鑫昌商务酒店, 骏怡商务酒店（桂林万福广场店）, 雅斯特酒店(桂林万福广场店), 桂林德盛便捷酒店, 桂林德天宾馆"	"128, 102, 68, 97, 75, 114, 49, 49"
八角寨周边酒店	桂林	宜宾宏财商务酒店	98
临桂周边酒店	桂林	龙胜过江龙新青年客栈	70
遇龙桥周边酒店	桂林	"阳朔小龙河酒店, 阳朔水云山居客栈, 阳朔村上春树little house, 阳朔可可花园度假酒店, 阳朔青屋居人文精品客栈, 阳朔田园牧歌旅舍, 阳朔一品山居度假客栈, 阳朔荷兰饭店"	"228, 478, 208, 356, 274, 200, 272, 176"
